Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Verification,Chrome 143.0.7499.170,,,02-01-2026 22:04:54,02-01-2026 22:05:56,"1m - 2,876s",FAILED
,,,,,,,
Test Cases/TC_Login_DDT,Chrome 143.0.7499.170,,,02-01-2026 22:05:12,02-01-2026 22:05:16,"4,480s",FAILED
"DATA BINDING - {""password_var"":""ThisIsNotAPassword"",""username_var"":""John Doe""}",,,,,,,
"openBrowser("""")",Chrome 143.0.7499.170,,,02-01-2026 22:05:12,02-01-2026 22:05:13,"0,955s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Chrome 143.0.7499.170,,,02-01-2026 22:05:13,02-01-2026 22:05:15,"2,598s",PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_txt-username""), username_var)",Chrome 143.0.7499.170,,,02-01-2026 22:05:15,02-01-2026 22:05:16,"0,692s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_txt-password""), password_var)",Chrome 143.0.7499.170,,,02-01-2026 22:05:16,02-01-2026 22:05:16,"0,214s",FAILED
,,,,,,,
Test Cases/TC_Login_DDT,Chrome 143.0.7499.170,,,02-01-2026 22:05:32,02-01-2026 22:05:36,"4,235s",FAILED
"DATA BINDING - {""password_var"":""WrongPass123"",""username_var"":""John Doe""}",,,,,,,
"openBrowser("""")",Chrome 143.0.7499.170,,,02-01-2026 22:05:32,02-01-2026 22:05:33,"0,868s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Chrome 143.0.7499.170,,,02-01-2026 22:05:33,02-01-2026 22:05:35,"2,591s",PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_txt-username""), username_var)",Chrome 143.0.7499.170,,,02-01-2026 22:05:35,02-01-2026 22:05:36,"0,635s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_txt-password""), password_var)",Chrome 143.0.7499.170,,,02-01-2026 22:05:36,02-01-2026 22:05:36,"0,129s",FAILED
,,,,,,,
Test Cases/TC_Login_DDT,Chrome 143.0.7499.170,,,02-01-2026 22:05:51,02-01-2026 22:05:56,"4,865s",FAILED
"DATA BINDING - {""(Default) usern..."":"""",""password_var"":""ThisIsNotAPassword""}",,,,,,,
"openBrowser("""")",Chrome 143.0.7499.170,,,02-01-2026 22:05:51,02-01-2026 22:05:52,"0,874s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Chrome 143.0.7499.170,,,02-01-2026 22:05:52,02-01-2026 22:05:55,"2,895s",PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_txt-username""), username_var)",Chrome 143.0.7499.170,,,02-01-2026 22:05:55,02-01-2026 22:05:56,"0,772s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_txt-password""), password_var)",Chrome 143.0.7499.170,,,02-01-2026 22:05:56,02-01-2026 22:05:56,"0,309s",FAILED
